iter	Logloss
0	0.6272916806
1	0.5633953373
2	0.502347833
3	0.4441459715
4	0.4008986502
5	0.3593522635
6	0.3219145992
7	0.2899149361
8	0.2608509964
9	0.2280042396
10	0.2039572252
11	0.182844928
12	0.1652933687
13	0.1448303818
14	0.1317099586
15	0.1209869066
16	0.1111626248
17	0.1012072173
18	0.09236450614
19	0.08476576506
20	0.07829337004
21	0.07093484105
22	0.0651979675
23	0.06039266765
24	0.05555139037
25	0.05104233657
26	0.04677349857
27	0.04321900469
28	0.03987159007
29	0.03651715456
30	0.03365375965
31	0.03120928402
32	0.02878715464
33	0.02671210988
34	0.02491677249
35	0.02341427613
36	0.02170511296
37	0.0195774929
38	0.01832873809
39	0.01723826033
40	0.01622288353
41	0.01502116462
42	0.01425635184
43	0.01361831089
44	0.01284490233
45	0.01204724618
46	0.01097787641
47	0.01039442768
48	0.00977182862
49	0.009404888166
50	0.008856712202
51	0.008475766958
52	0.00816398192
53	0.007814848003
54	0.007400862406
55	0.007099863941
56	0.006794408986
57	0.006446196608
58	0.006208464296
59	0.005953380898
60	0.005769376613
61	0.005514633532
62	0.005313187071
63	0.005161838432
64	0.00496111422
65	0.004739440622
66	0.004533433634
67	0.004363552509
68	0.004244165936
69	0.004112515001
70	0.003930279348
71	0.003810695567
72	0.003699333958
73	0.003589097338
74	0.003478203665
75	0.003369640194
76	0.003280079688
77	0.00319141922
78	0.003094067486
79	0.003011928298
80	0.002849209323
81	0.00276372638
82	0.002674298117
83	0.002604845683
84	0.00254110905
85	0.002471956011
86	0.00239778237
87	0.002335476133
88	0.00225537168
89	0.002187011404
90	0.002142434718
91	0.002087612682
92	0.002034501712
93	0.001977686093
94	0.001905255421
95	0.001859666337
96	0.001818392484
97	0.001781471429
98	0.001719098261
99	0.001683432473
100	0.001642894161
101	0.001609704804
102	0.001581600206
103	0.001545207891
104	0.001516996134
105	0.001480388231
106	0.001457214416
107	0.001434176196
108	0.001401893233
109	0.001377891167
110	0.001339250609
111	0.001311596723
112	0.001290898414
113	0.001270005093
114	0.001242397908
115	0.001221579609
116	0.00120473634
117	0.001183904979
118	0.00116618248
119	0.001149738135
120	0.001126243885
121	0.001111871498
122	0.001093120071
123	0.001071402429
124	0.001057336143
125	0.00104409175
126	0.001031622896
127	0.001017931028
128	0.00100286136
129	0.0009816536163
130	0.000969710497
131	0.0009459038468
132	0.0009355191463
133	0.0009195436622
134	0.0009090371227
135	0.0008986303433
136	0.0008878406493
137	0.000870143408
138	0.0008565807191
139	0.0008429860676
140	0.0008314934292
141	0.0008203873466
142	0.0008120940243
143	0.0007957686864
144	0.0007845823218
145	0.0007725925014
146	0.0007624703792
147	0.0007539749936
148	0.0007452081288
149	0.0007452165674
150	0.0007451989389
151	0.0007451917719
152	0.0007299529287
153	0.0007149363782
154	0.0007149347021
155	0.000693921912
156	0.000693900122
157	0.0006938993128
158	0.000686308935
159	0.0006789489994
160	0.0006789555306
161	0.0006697447739
162	0.0006697447739
163	0.0006697450051
164	0.0006624484166
165	0.0006624355854
166	0.0006624392267
167	0.0006624223495
168	0.0006513114697
169	0.0006440349951
170	0.0006440462079
171	0.0006440410639
172	0.0006440337235
173	0.0006440310648
174	0.0006440269033
175	0.000636245097
176	0.000627705669
177	0.0006277053222
178	0.0006277026635
179	0.0006276979818
180	0.0006277034727
181	0.000627684457
182	0.0006104624343
183	0.0005987453068
184	0.0005987384866
185	0.0005987349609
186	0.0005918273558
187	0.0005918273558
188	0.0005828028257
189	0.0005755089537
190	0.0005755032894
191	0.0005755033472
192	0.0005754812104
193	0.0005754812104
194	0.0005643849536
195	0.0005568711008
196	0.0005568595989
197	0.0005568646852
198	0.0005568587898
199	0.0005425417736
200	0.0005425417736
201	0.0005425337974
202	0.0005425485938
203	0.0005288251675
204	0.0005288289822
205	0.0005288144748
206	0.0005288144748
207	0.0005204430668
208	0.0005204454944
209	0.0005114228716
210	0.0005114147798
211	0.0005114248945
212	0.0005114019485
213	0.0005114192302
214	0.000502704962
215	0.0005027032859
216	0.0004946402903
217	0.000494656705
218	0.0004946412151
219	0.0004946362444
220	0.0004946367068
221	0.0004946187893
222	0.0004946123158
223	0.0004946200608
224	0.0004946158994
225	0.0004946059002
226	0.0004946059002
227	0.0004946158994
228	0.0004946224884
229	0.0004946106975
230	0.0004870430922
231	0.0004870318215
232	0.000487035116
233	0.0004870239609
234	0.0004870118232
235	0.0004870267352
236	0.0004870162737
237	0.0004870181811
238	0.0004870181811
239	0.0004870048296
240	0.000486991247
241	0.0004869687056
242	0.0004869795139
243	0.0004869795139
244	0.0004869769708
245	0.000486992981
246	0.000486992981
247	0.000486984658
248	0.0004869576083
249	0.0004869682432
250	0.0004869682432
251	0.0004869656423
252	0.0004869662781
253	0.0004869618854
254	0.000486969457
255	0.000486954834
256	0.0004869504991
257	0.0004771543889
258	0.0004771543889
259	0.000477175861
260	0.0004771659775
261	0.0004771544756
262	0.0004771609201
263	0.0004771487536
264	0.0004771576834
265	0.0004668661829
266	0.000466857282
267	0.0004668562994
268	0.0004668574265
269	0.0004668574265
270	0.000466849248
271	0.0004668259552
272	0.0004668568196
273	0.0004560215804
274	0.0004560135465
275	0.000456022852
276	0.0004560128818
277	0.0004560215515
278	0.0004560156561
279	0.0004560199621
280	0.0004559951088
281	0.0004475798896
282	0.000447580063
283	0.0004475763061
284	0.0004475778666
285	0.0004475800052
286	0.0004475658735
287	0.0004475720868
288	0.0004475649776
289	0.0004475561922
290	0.0004475544583
291	0.0004475468578
292	0.0004475468578
293	0.0004475455573
294	0.0004475455573
295	0.0004475455573
296	0.0004475546606
297	0.0004475546606
298	0.0004475546606
299	0.0004475463665
300	0.0004475425518
301	0.0004475423784
302	0.0004475423784
303	0.0004475329284
304	0.0004475334197
305	0.0004475334775
306	0.0004475397197
307	0.0004475397197
308	0.00044752501
309	0.0004475392862
310	0.0004475313389
311	0.0004475313389
312	0.0004475289692
313	0.000447504636
314	0.000447504636
